25.5815	58.7765	2
25.5898	59.3865	15.2
25.7500	58.5132	12.8
25.7583	57.7333	3.4
25.7683	61.4350	37.9
26.0065	60.5232	220.3
26.0067	60.5233	220.4
26.0365	60.1500	274
26.1217	57.8983	136.2
26.1365	60.1765	348.2
26.1367	60.1767	348.3
26.1382	58.0532	292.2
26.1383	58.0533	292.3
26.1417	60.5532	329.7
26.1417	60.5533	329.7
27.9717	55.0167	874.6
27.9732	56.5833	1060.8
27.9750	62.0148	1423.1
27.9800	59.6100	1036.7
29.8798	60.4365	1272.1
29.8815	56.5648	2080.5
29.8917	50.2815	7.3
29.8917	59.9848	1109.6
29.8917	59.9850	1109.6
31.0182	54.8298	1687.6
31.0198	55.0948	1431.1
31.0215	52.8500	1885.3
31.0215	52.8548	1885.3
31.0233	60.5033	825.6
31.0315	54.2098	2058.5
31.3217	48.6233	20.1
31.3265	54.5948	1698.6
31.3275	62.2592	501
33.0733	50.6617	2297.9
33.0750	55.7598	773
33.0882	46.5032	346.4
33.0883	46.5033	346.4
33.3683	56.9767	675.6
33.3732	50.3417	1938.3
35.0833	48.6032	1670.1
35.0833	53.7167	850.1
35.4532	59.2315	1669.5
36.0198	51.7198	2749.8
36.5917	57.0432	1613.3
36.5932	51.6848	-20
36.5932	54.6598	2389.3
36.6917	52.5715	-22.2
36.7782	53.4348	-25.2
37.2865	49.6282	-0.7
37.2867	49.6283	-0.8
37.4833	53.9667	-23
37.4848	45.0548	1477.3
37.4850	45.0550	1477.4
37.7382	46.4782	3120.5
38.0317	47.5583	1969.4
38.0368	47.7378	2235.6
38.0548	44.4648	2393.2
39.2000	54.5667	2
39.9217	49.2767	-11
39.9283	53.8483	-22
